name,likes,time,servings,link,calories,fat,carbs,fiber,sugar,protein,no_ing,contains_soy,contains_glutten,fruits,vegetables,grains,dairy_alternatives,herbs_and_spices,sweeteners,oils,condiments_and_sauces,grains_and_cereals
Dairy-Free Fettuccine Alfredo Pasta,0.87,30.0,2,https://tasty.co/recipe/dairy-free-fettuccine-alfredo,483.0,21.0,58.0,5.0,7.0,0,12,0,0,0,1,0,0,1,0,0,0,1
Soothing Lemon Ginger Tea,0.96,30.0,2,https://tasty.co/recipe/soothing-lemon-ginger-tea,33.0,0.0,8.0,0.0,4.0,0,4,0,0,0,0,0,0,1,0,0,0,0
Apple Chips,0.79,30.0,1,https://tasty.co/recipe/apple-chips,285.0,1.0,77.0,13.0,54.0,0,3,0,0,1,0,0,0,1,0,0,0,0
Homemade Falafel,0.81,10.0,5,https://tasty.co/recipe/homemade-falafel,448.0,7.0,76.0,15.0,11.0,1,16,0,0,0,1,0,0,1,0,0,0,1
Veggie-Packed Lentil Loaf,0.91,30.0,4,https://tasty.co/recipe/veggie-packed-lentil-loaf,556.0,7.0,96.0,17.0,7.0,1,21,1,0,0,1,1,0,1,1,1,1,0
Tofu Tenders,0.9,30.0,2,https://tasty.co/recipe/tofu-tenders,582.0,19.0,72.0,5.0,7.0,1,18,1,1,1,1,1,0,1,0,1,1,1
BBQ Cauliflower Bites,0.92,30.0,4,https://tasty.co/recipe/bbq-cauliflower-bites,162.0,1.0,35.0,6.0,23.0,0,5,0,0,0,0,0,0,0,0,1,0,0
Easy Tomato Basil Pasta Bake,0.93,30.0,8,https://tasty.co/recipe/easy-tomato-basil-pasta-bake,140.0,2.0,25.0,2.0,5.0,0,10,0,0,0,1,0,0,1,0,1,0,1
Sweet Potato Chickpea BBQ Veggie Burgers,0.94,30.0,5,https://tasty.co/recipe/sweet-potato-chickpea-bbq-veggie-burgers,263.0,2.0,51.0,9.0,18.0,1,15,0,0,1,1,0,0,1,1,0,1,0
Vegan Spaghetti Carbonara,0.94,30.0,4,https://tasty.co/recipe/vegan-spaghetti-carbonara,471.0,13.0,73.0,5.0,5.0,0,16,0,0,0,1,0,0,1,0,1,0,0
Sweet Potato Chips,0.91,30.0,1,https://tasty.co/recipe/sweet-potato-chips,306.0,15.0,39.0,3.0,14.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Vegan Chocolate Mousse,0.8,30.0,3,https://tasty.co/recipe/vegan-chocolate-mousse,374.0,12.0,56.0,11.0,26.0,0,4,0,0,0,0,0,0,0,1,0,0,0
2-minute Sweet Potato Chips,0.74,30.0,2,https://tasty.co/recipe/2-minute-sweet-potato-chips,86.0,0.0,19.0,1.0,7.0,0,2,0,0,0,0,0,0,0,0,0,0,0
Veggie-Packed One-Pot Split Pea Soup,0.95,11.0,12,https://tasty.co/recipe/veggie-packed-one-pot-split-pea-soup,148.0,0.0,29.0,7.0,5.0,1,15,0,0,0,1,0,0,1,0,1,0,0
"Vegetarian ""Meat"" Sauce",0.95,30.0,8,https://tasty.co/recipe/vegetarian-meat-sauce,151.0,2.0,27.0,7.0,9.0,1,12,0,0,0,1,0,0,1,0,0,0,0
Pumpkin Spice Bites,0.92,30.0,15,https://tasty.co/recipe/pumpkin-spice-bites,80.0,3.0,10.0,1.0,2.0,0,9,0,0,0,0,1,0,1,1,0,0,0
Vegan Tofu Bao Buns With Pickled Vegetables,0.93,30.0,12,https://tasty.co/recipe/vegan-tofu-bao-buns-with-pickled-vegetables,320.0,9.0,54.0,3.0,23.0,1,33,1,1,0,1,1,0,1,1,1,1,0
Spring Vegetable Chowder,0.9,30.0,6,https://tasty.co/recipe/spring-vegetable-chowder,164.0,3.0,29.0,5.0,5.0,1,15,0,0,0,0,1,0,1,0,1,0,0
Whole Roasted Cauliflower,0.91,30.0,4,https://tasty.co/recipe/whole-roasted-cauliflower,202.0,12.0,19.0,7.0,6.0,0,13,0,0,0,0,0,0,1,0,1,0,0
Vegetarian Potstickers,0.97,30.0,6,https://tasty.co/recipe/vegetarian-potstickers,179.0,9.0,20.0,5.0,9.0,0,19,1,0,0,1,0,0,1,1,1,1,0
Apple Pie Winter Smoothie,0.75,30.0,1,https://tasty.co/recipe/apple-pie-winter-smoothie,373.0,9.0,66.0,8.0,44.0,0,6,0,0,1,0,1,0,1,1,0,0,0
Apple Pie Bites,0.95,30.0,15,https://tasty.co/recipe/apple-pie-bites,81.0,3.0,10.0,1.0,3.0,0,7,0,0,1,0,1,0,1,1,0,0,0
Dairy Free Doughnuts,0.83,30.0,12,https://tasty.co/recipe/dairy-free-doughnuts,182.0,6.0,26.0,0.0,8.0,0,7,1,0,0,0,1,1,0,1,1,0,0
Vegan Mushroom “Cheesesteak” Sandwich,0.93,30.0,2,https://tasty.co/recipe/vegan-mushroom-cheesesteak-sandwich,485.0,16.0,72.0,11.0,15.0,0,21,1,0,0,1,0,0,1,0,1,1,0
Beer-battered Onion Rings By Martha Stewart,0.96,30.0,4,https://tasty.co/recipe/beer-battered-onion-rings-by-martha-stewart,417.0,7.0,73.0,4.0,7.0,0,9,0,1,0,1,1,0,0,0,1,0,0
Slow Cooker Vegan Butternut Squash Mac,0.92,30.0,6,https://tasty.co/recipe/slow-cooker-vegan-butternut-squash-mac,437.0,5.0,82.0,5.0,7.0,0,13,0,0,0,1,0,0,1,0,1,1,0
Healthy Breakfast Smoothie,0.85,30.0,1,https://tasty.co/recipe/healthy-breakfast-smoothie,55.0,0.0,10.0,1.0,4.0,0,5,0,0,1,1,0,1,0,0,0,0,0
Tofu Nuggets That Taste Like Chicken,0.93,30.0,3,https://tasty.co/recipe/tofu-nuggets-that-taste-like-chicken,812.0,54.0,62.0,4.0,19.0,1,26,1,0,1,1,1,1,1,0,1,1,1
BBQ Popcorn,0.82,40.0,4,https://tasty.co/recipe/bbq-popcorn,135.0,7.0,17.0,2.0,4.0,0,9,0,0,0,1,0,0,1,1,1,0,0
Quick-Roasted Veggie Bowl,0.92,30.0,4,https://tasty.co/recipe/quick-roasted-veggie-bowl,506.0,18.0,76.0,14.0,5.0,1,26,1,0,0,1,1,0,1,0,1,0,0
High-Protein Chia Seed Jam,0.98,30.0,1,https://tasty.co/recipe/chia-seed-jam,206.54,7.31,30.69,0.0,0.0,1,18,0,0,1,0,0,0,0,0,0,0,0
Mushroom Tacos,0.96,30.0,2,https://tasty.co/recipe/mushroom-tacos,80.0,2.0,11.0,2.0,4.0,0,9,1,0,0,1,0,0,1,0,1,1,0
Halloween Party Punch,0.89,30.0,20,https://tasty.co/recipe/halloween-party-punch,206.54,7.31,30.69,0.0,0.0,0,8,0,0,0,0,0,0,1,0,0,0,0
Spicy White Bean Chili,0.79,30.0,4,https://tasty.co/recipe/spicy-white-bean-chili,157.0,3.0,23.0,7.0,5.0,1,13,0,0,0,1,0,0,1,0,1,0,0
After School Loaded Apple Slices,0.96,30.0,1,https://tasty.co/recipe/after-school-loaded-apple-slices,206.54,7.31,30.69,0.0,0.0,0,4,0,0,1,0,0,0,0,0,0,0,1
Salt & Vinegar Chips,0.74,30.0,2,https://tasty.co/recipe/salt-vinegar-chips,219.0,0.0,40.0,3.0,1.0,0,4,0,0,0,0,0,0,0,0,0,1,0
Creamy Vegan “Cheesy” Broccoli Soup,0.9,30.0,10,https://tasty.co/recipe/creamy-vegan-cheesy-broccoli-soup,100.0,2.0,16.0,3.0,3.0,0,12,0,0,0,1,0,0,1,0,1,0,0
Vegan Pad Thai,0.88,30.0,2,https://tasty.co/recipe/vegan-pad-thai,1050.0,32.0,165.0,15.0,55.0,1,14,1,0,0,1,1,0,1,1,1,1,0
Strawberries & Cream Dairy-free Milkshake,0.91,30.0,2,https://tasty.co/recipe/strawberries-cream-dairy-free-milkshake,225.0,2.0,53.0,7.0,27.0,0,5,0,0,1,0,0,0,0,0,0,0,0
Apple Cider,0.97,30.0,10,https://tasty.co/recipe/apple-cider,246.0,0.0,65.0,10.0,49.0,0,8,0,0,1,0,0,0,1,1,0,0,0
BBQ Chips,0.79,30.0,2,https://tasty.co/recipe/bbq-chips,288.0,8.0,51.0,4.0,10.0,0,8,0,0,0,0,0,0,1,1,0,0,0
Kiwi Strawberry Popsicles,0.92,30.0,6,https://tasty.co/recipe/kiwi-strawberry-popsicles,25.0,0.0,6.0,1.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Roasted Veggie Skewers,0.98,30.0,8,https://tasty.co/recipe/roasted-veggie-skewers,63.0,2.0,11.0,2.0,5.0,0,11,0,0,0,1,0,0,1,0,1,0,0
Classic Pita Chips,0.96,30.0,2,https://tasty.co/recipe/classic-pita-chips,103.0,4.0,14.0,0.0,0.0,0,5,0,0,0,0,0,0,1,0,1,0,1
Spring Vegetable Potstickers,0.97,30.0,24,https://tasty.co/recipe/spring-vegetable-potstickers,103.0,5.0,12.0,1.0,4.0,1,24,1,0,0,1,1,0,1,0,1,1,0
One-Tray Alfredo Pasta,0.94,30.0,2,https://tasty.co/recipe/one-tray-alfredo-pasta,446.0,14.0,64.0,3.0,5.0,0,6,0,0,0,1,0,0,0,0,0,0,1
Roasted Fingerling Potatoes,0.98,30.0,4,https://tasty.co/recipe/roasted-fingerling-potatoes,206.0,1.0,45.0,4.0,2.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Vanilla Black Tea Smoothie,0.89,30.0,2,https://tasty.co/recipe/vanilla-black-tea,206.54,7.31,30.69,0.0,0.0,0,8,0,0,1,0,0,1,0,0,0,0,0
Hummus & Cucumber Avocado Toast,0.97,30.0,1,https://tasty.co/recipe/hummus-cucumber-avocado-toast,185.0,14.0,11.0,7.0,0.0,0,6,0,0,0,1,0,0,0,0,0,1,1
Vegan Ramen,0.95,30.0,4,https://tasty.co/recipe/vegan-ramen,67.0,1.0,11.0,1.0,4.0,0,23,1,0,0,1,0,0,1,0,1,1,0
Vegan Fettuccine Alfredo Pasta,0.84,30.0,2,https://tasty.co/recipe/vegan-fettuccine-alfredo,1020.0,13.0,193.0,11.0,10.0,0,10,0,0,0,1,0,0,1,0,0,0,1
Get Your Greens Kale Smoothie,0.92,30.0,1,https://tasty.co/recipe/get-your-greens-kale-smoothie,695.0,7.0,191.0,20.0,44.0,0,5,0,0,1,0,0,1,0,0,0,0,0
Frozen Smoothie Pops,0.93,30.0,6,https://tasty.co/recipe/frozen-smoothie-pops,104.0,1.0,19.0,27.0,13.0,0,6,0,0,1,0,0,0,0,0,0,0,0
Popcorn Tofu Nuggets,0.86,30.0,6,https://tasty.co/recipe/popcorn-tofu-nuggets,329.0,22.0,18.0,1.0,1.0,1,6,1,0,0,0,0,0,1,0,0,1,1
Pesto Quinoa With White Beans,0.94,30.0,4,https://tasty.co/recipe/pesto-quinoa-with-white-beans,778.0,23.0,113.0,20.0,13.0,1,14,0,0,0,1,1,0,1,0,1,0,0
Vegan Lasagna,0.88,30.0,5,https://tasty.co/recipe/vegan-lasagna,531.0,40.0,23.0,8.0,8.0,1,20,1,0,0,1,0,0,1,0,0,1,0
Roasted Veggie Skewers,0.98,30.0,8,https://tasty.co/recipe/roasted-veggie-skewers,63.0,2.0,11.0,2.0,5.0,0,11,0,0,0,1,0,0,1,0,1,0,0
Classic Pita Chips,0.96,30.0,2,https://tasty.co/recipe/classic-pita-chips,103.0,4.0,14.0,0.0,0.0,0,5,0,0,0,0,0,0,1,0,1,0,1
Ratatouille Salad,0.95,30.0,2,https://tasty.co/recipe/ratatouille-salad,560.0,10.0,105.0,18.0,22.0,0,16,0,0,0,1,1,0,1,0,1,0,0
Spring Vegetable Potstickers,0.97,30.0,24,https://tasty.co/recipe/spring-vegetable-potstickers,103.0,5.0,12.0,1.0,4.0,1,24,1,0,0,1,1,0,1,0,1,1,0
Healthy Strawberry Banana Frozen Yogurt,0.9,30.0,4,https://tasty.co/recipe/healthy-strawberry-banana-frozen-yogurt,143.0,0.0,33.0,4.0,19.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Hummus & Cucumber Avocado Toast,0.97,30.0,1,https://tasty.co/recipe/hummus-cucumber-avocado-toast,185.0,14.0,11.0,7.0,0.0,0,6,0,0,0,1,0,0,0,0,0,1,1
Butternut Squash Fries,0.91,30.0,8,https://tasty.co/recipe/butternut-squash-fries,206.54,7.31,30.69,0.0,0.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Vegan Ramen,0.95,30.0,4,https://tasty.co/recipe/vegan-ramen,67.0,1.0,11.0,1.0,4.0,0,23,1,0,0,1,0,0,1,0,1,1,0
Banana Matcha Smoothie,0.93,30.0,2,https://tasty.co/recipe/banana-matcha,100.0,1.0,21.0,2.0,9.0,0,5,0,0,1,1,0,1,0,0,0,0,0
Sweet Potato Black Bean Hash,0.96,30.0,4,https://tasty.co/recipe/sweet-potato-black-bean-hash,324.0,4.0,61.0,11.0,16.0,1,10,0,0,0,1,0,0,1,0,1,0,0
Vegan Doughnuts,0.88,30.0,12,https://tasty.co/recipe/vegan-doughnuts,182.0,6.0,26.0,0.0,8.0,0,7,1,0,0,0,1,1,0,1,1,0,0
Vegan Apple Pie,0.96,30.0,6,https://tasty.co/recipe/vegan-apple-pie,821.0,37.0,119.0,6.0,68.0,0,13,0,1,1,0,1,0,1,1,1,0,0
Broccoli Soup,0.83,30.0,2,https://tasty.co/recipe/broccoli-soup,59.0,0.0,12.0,5.0,2.0,0,4,0,0,0,1,0,0,0,0,0,0,0
Roasted Fingerling Potatoes,0.98,30.0,4,https://tasty.co/recipe/roasted-fingerling-potatoes,206.0,1.0,45.0,4.0,2.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Vanilla Black Tea Smoothie,0.89,30.0,2,https://tasty.co/recipe/vanilla-black-tea,206.54,7.31,30.69,0.0,0.0,0,8,0,0,1,0,0,1,0,0,0,0,0
Dairy-Free Chocolate-Glazed Donuts,0.79,30.0,6,https://tasty.co/recipe/dairy-free-chocolate-glazed-donuts,186.0,1.0,41.0,2.0,19.0,0,13,0,1,1,0,1,1,0,1,0,1,0
Frozen Smoothie Pops,0.93,30.0,6,https://tasty.co/recipe/frozen-smoothie-pops,104.0,1.0,19.0,27.0,13.0,0,6,0,0,1,0,0,0,0,0,0,0,0
Get Your Greens Kale Smoothie,0.92,30.0,1,https://tasty.co/recipe/get-your-greens-kale-smoothie,206.54,7.31,30.69,0.0,0.0,0,5,0,0,1,0,0,1,0,0,0,0,0
Sourdough Bread For Beginners,0.92,69.0,1,https://tasty.co/recipe/sourdough-bread-for-beginners,206.54,7.31,30.69,0.0,0.0,0,10,0,1,0,0,1,0,0,0,0,0,1
Tofu & Vegetable Skewers,0.91,30.0,4,https://tasty.co/recipe/tofu-vegetable-skewers,160.0,6.0,17.0,1.0,13.0,1,13,1,0,0,1,0,0,1,1,0,1,0
Oat Milk,0.84,30.0,3,https://tasty.co/recipe/oat-milk,193.0,3.0,34.0,4.0,2.0,0,5,0,0,0,0,1,0,0,0,0,0,0
Thai Tofu Collard Wraps,0.87,30.0,6,https://tasty.co/recipe/thai-tofu-collard-wraps,276.0,21.0,12.0,3.0,6.0,1,18,1,0,0,1,0,0,1,0,1,1,0
Vegan Snowflake Sugar Cookies,0.9,30.0,12,https://tasty.co/recipe/vegan-snowflake-sugar-cookies,367.0,13.0,59.0,0.0,40.0,0,12,0,1,0,0,1,0,0,1,1,0,0
Crunchy Chili Chickpeas,0.89,30.0,4,https://tasty.co/recipe/crunchy-chili-chickpeas,181.0,3.0,28.0,8.0,5.0,1,6,0,0,0,0,0,0,1,0,1,0,0
Veggie Spring Rolls With Peanut Sauce,0.94,30.0,8,https://tasty.co/recipe/veggie-spring-rolls-with-peanut-sauce,121.0,5.0,17.0,2.0,5.0,0,14,1,0,0,1,1,0,1,1,1,1,0
Nutrient-Packed Colorful Super Salad,0.95,30.0,6,https://tasty.co/recipe/nutrient-packed-colorful-super-salad,345.0,22.0,30.0,10.0,9.0,0,19,0,0,1,1,0,0,1,1,1,1,0
Vegetarian Black Bean And Sweet Potato Tacos,0.98,30.0,2,https://tasty.co/recipe/vegetarian-black-bean-and-sweet-potato-tacos,131.0,4.0,22.0,4.0,3.0,1,9,0,0,0,0,0,0,1,0,1,0,1
Cookie Dough Bars,0.88,30.0,20,https://tasty.co/recipe/cookie-dough-crack-bars,224.0,18.0,14.0,3.0,9.0,0,9,0,0,0,0,1,0,0,1,1,0,0
Banana Berry Nice Cream,0.92,30.0,4,https://tasty.co/recipe/banana-berry-nice-cream,116.0,0.0,28.0,3.0,14.0,0,4,0,0,1,0,0,1,0,0,0,0,0
Roasted Veggies With Spinach Pesto Orzo,0.91,30.0,6,https://tasty.co/recipe/roasted-veggies-with-spinach-pesto-orzo,890.0,10.0,191.0,26.0,72.0,1,13,0,0,0,1,0,0,1,0,1,0,1
Southwestern Salad,0.95,30.0,1,https://tasty.co/recipe/southwestern-salad,442.0,15.0,69.0,17.0,7.0,1,11,0,0,0,1,1,0,1,0,0,0,0
Chocolate Chip Chickpea Cookie Dough,0.54,30.0,4,https://tasty.co/recipe/chocolate-chip-chickpea-cookie-dough,310.0,11.0,47.0,9.0,23.0,1,7,0,0,0,0,0,0,0,0,0,0,0
Mango Salsa,0.97,30.0,2,https://tasty.co/recipe/mango-salsa,119.0,0.0,29.0,4.0,20.0,0,8,0,0,1,1,0,0,1,0,0,0,0
Melon Berry Fruit Salad,0.96,30.0,4,https://tasty.co/recipe/melon-berry-fruit-salad,220.0,1.0,54.0,12.0,35.0,0,7,0,0,1,0,0,0,0,1,0,0,0
Dairy-Free Green Bean Casserole,0.96,30.0,6,https://tasty.co/recipe/dairy-free-green-bean-casserole,253.0,14.0,27.0,4.0,6.0,1,11,1,1,0,1,1,0,1,0,1,1,0
Tabbouleh,0.91,30.0,4,https://tasty.co/recipe/tabbouleh,154.0,7.0,19.0,3.0,2.0,0,12,0,1,0,1,1,0,1,0,1,0,0
Mushroom And Kale Burritos,0.95,30.0,2,https://tasty.co/recipe/mushroom-and-kale-burritos,597.0,10.0,105.0,14.0,7.0,0,14,1,0,0,1,1,0,1,0,1,1,1
Cold Brew With Sweet And Salty Foam,0.9,62.0,4,https://tasty.co/recipe/cold-brew-with-sweet-and-salty-foam,192.0,11.0,24.0,0.0,24.0,0,9,0,0,0,0,0,0,0,1,0,0,0
Gardenscape Focaccia,0.91,128.0,12,https://tasty.co/recipe/gardenscape-focaccia,260.0,4.0,47.0,2.0,1.0,0,21,0,0,1,1,1,0,1,0,1,0,1
Cauliflower Steaks,0.94,30.0,4,https://tasty.co/recipe/cauliflower-steaks,100.0,4.0,14.0,6.0,6.0,0,11,0,0,0,1,0,0,1,0,1,0,0
Vegan Grilled Cheese,0.83,30.0,4,https://tasty.co/recipe/vegan-grilled-cheese,123.0,5.0,15.0,1.0,2.0,0,10,0,0,0,1,0,0,1,0,0,0,1
“Cheesy” Scalloped Potatoes,0.92,21.0,6,https://tasty.co/recipe/cheesy-scalloped-potatoes,164.0,5.0,25.0,2.0,2.0,0,11,0,1,0,1,1,0,1,0,0,0,0
Browned “Butter” Chocolate Chip Cookies,0.85,41.0,8,https://tasty.co/recipe/browned-butter-chocolate-chip-cookies,443.0,27.0,49.0,2.0,33.0,0,11,0,1,0,0,1,0,0,1,1,0,0
Vegan Chocolate Cupcakes With Chocolate Frosting,0.94,30.0,12,https://tasty.co/recipe/vegan-chocolate-cupcakes-with-chocolate-frosting,435.0,25.0,52.0,3.0,37.0,0,15,0,1,0,0,1,1,0,1,1,0,0
Easy Sheet Pan Southwestern Dinner,0.98,30.0,4,https://tasty.co/recipe/easy-sheet-pan-southwestern-dinner,300.0,10.0,46.0,15.0,10.0,1,27,0,0,1,1,0,0,1,0,1,0,0
BBQ Jackfruit Sliders,0.95,30.0,12,https://tasty.co/recipe/bbq-jackfruit-sliders,325.0,11.0,49.0,4.0,15.0,0,21,0,0,1,1,0,0,1,0,1,1,0
How To Make Veggie Stock With Kitchen Scraps,0.93,30.0,1,https://tasty.co/recipe/how-to-make-veggie-stock-with-kitchen-scraps,96.0,0.0,22.0,6.0,10.0,0,8,0,0,0,1,0,0,1,0,0,0,0
Chili Lime Crispy Chickpeas,0.92,30.0,4,https://tasty.co/recipe/chili-lime-crispy-chickpeas,191.0,3.0,32.0,9.0,5.0,1,7,0,0,0,0,0,0,0,0,1,0,0
Curly Fries,0.88,30.0,2,https://tasty.co/recipe/curly-fries,272.0,3.0,57.0,5.0,2.0,0,9,0,0,0,0,0,0,1,0,1,1,0
"Vanilla Bean Banana ""Ice Cream""",0.92,30.0,4,https://tasty.co/recipe/vanilla-bean-banana-ice-cream,117.0,0.0,28.0,3.0,15.0,0,3,0,0,1,0,0,0,0,0,0,0,0
Watermelon Cucumber Lime Juice,0.88,30.0,1,https://tasty.co/recipe/watermelon-cucumber-lime-juice,258.0,1.0,68.0,6.0,47.0,0,3,0,0,1,1,0,0,0,0,0,0,0
Green Vitamin Juice,0.94,30.0,2,https://tasty.co/recipe/green-vitamin-juice,184.0,1.0,42.0,6.0,24.0,0,5,0,0,1,1,0,0,0,0,0,0,0
Mango-Stuffed Sticky Rice Balls,0.87,30.0,22,https://tasty.co/recipe/mango-stuffed-sticky-rice-balls,137.0,3.0,22.0,0.0,25.0,0,6,0,0,1,0,1,0,0,1,0,0,0
Spicy Fried Cauliflower “Chicken”,0.95,30.0,4,https://tasty.co/recipe/spicy-fried-cauliflower-chicken,206.54,7.31,30.69,0.0,0.0,0,15,1,1,0,1,1,1,1,0,0,1,0
Vegan Vanilla Cupcakes With Rainbow Sprinkle Frosting,0.91,30.0,10,https://tasty.co/recipe/vegan-vanilla-cupcakes-with-rainbow-sprinkle-frosting,459.0,26.0,52.0,0.0,40.0,0,14,0,1,1,0,1,1,0,1,1,1,0
Sushi Rice Dip,0.92,30.0,1,https://tasty.co/recipe/sushi-rice-dip,206.54,7.31,30.69,0.0,0.0,0,14,1,0,0,1,1,0,0,1,0,1,0
Fall Ratatouille,0.9,63.0,8,https://tasty.co/recipe/fall-ratatouille,326.0,2.0,75.0,9.0,23.0,0,17,0,0,1,1,0,0,1,0,1,0,0
Kenyan Masala Chips,0.93,30.0,4,https://tasty.co/recipe/kenyan-masala-chips,208.0,10.0,24.0,3.0,2.0,0,12,0,0,0,1,0,0,1,0,1,0,0
Roasted Broccoli With Tahini,0.98,30.0,4,https://tasty.co/recipe/roasted-broccoli-with-tahini,49.0,1.0,8.0,3.0,1.0,0,5,0,0,0,1,0,0,0,0,1,0,0
Roasted Sheet Tray Veggies,0.97,30.0,8,https://tasty.co/recipe/roasted-sheet-tray-veggies,58.0,1.0,9.0,4.0,3.0,0,7,0,0,0,1,0,0,1,0,1,0,0
Homemade Muesli,0.96,30.0,6,https://tasty.co/recipe/homemade-muesli,662.0,26.0,89.0,14.0,16.0,1,6,0,0,0,0,1,0,1,0,0,0,0
Vegan Mac ‘N’ Cheese In A Mug,0.71,30.0,1,https://tasty.co/recipe/mac-n-cheese-in-a-mug,408.0,9.0,62.0,2.0,1.0,0,7,0,0,0,0,0,1,1,0,0,0,1
Frozen Strawberry Lemonade,0.94,30.0,2,https://tasty.co/recipe/frozen-strawberry-lemonade,69.0,0.0,16.0,1.0,14.0,0,3,0,0,0,0,0,0,0,0,0,0,0
Carrot Dogs 4 Ways,0.91,30.0,6,https://tasty.co/recipe/carrot-dogs-4-ways,164.0,2.0,29.0,3.0,7.0,0,27,1,0,1,1,0,0,1,1,1,1,0
Mediterranean Lentil Salad,0.96,30.0,1,https://tasty.co/recipe/mediterranean-lentil-salad,591.0,17.0,86.0,16.0,13.0,1,12,0,0,0,1,0,0,1,0,1,1,0
Gobi Manchurian,0.88,30.0,4,https://tasty.co/recipe/gobi-manchurian,206.54,7.31,30.69,0.0,0.0,0,25,1,0,0,1,1,0,1,0,1,1,0
Tabitha Brown’s Healthy Vegan Pizza Bagels,0.94,30.0,12,https://tasty.co/recipe/tabitha-browns-healthy-vegan-pizza-bagels,336.0,14.0,44.0,3.0,6.0,0,13,0,0,0,1,0,0,1,0,1,0,1
Cauliflower “Meat” Burrito Bowl,0.93,30.0,4,https://tasty.co/recipe/cauliflower-meat-burrito-bowl,128.0,2.0,24.0,8.0,10.0,0,18,1,0,0,1,1,0,1,0,1,1,0
Summer Vegetable Pesto Ribbon Salad,0.91,30.0,4,https://tasty.co/recipe/summer-vegetable-pesto-ribbon-salad,221.0,15.0,18.0,5.0,9.0,0,15,0,0,1,1,0,0,1,0,1,0,0
Fajita Spice Blend,0.98,30.0,8,https://tasty.co/recipe/fajita-spice-blend,206.54,7.31,30.69,0.0,0.0,0,8,0,0,0,1,0,0,1,0,0,0,0
Pineapple Salsa,0.97,30.0,2,https://tasty.co/recipe/pineapple-salsa,93.0,0.0,23.0,3.0,16.0,0,8,0,0,1,1,0,0,1,0,0,0,0
Air Fryer Tortilla Chips,0.92,20.0,2,https://tasty.co/recipe/air-fryer-tortilla-chips,330.0,6.0,64.0,9.0,1.0,0,5,0,0,0,0,0,0,0,0,1,0,1
"Dark Chocolate, Cherry, And Date Bars",0.87,30.0,16,https://tasty.co/recipe/dark-chocolate-cherry-and-date-bars,172.0,9.0,21.0,2.0,13.0,0,9,0,0,0,0,1,0,0,0,1,0,0
Summertime Lentil Bolognese,0.97,30.0,8,https://tasty.co/recipe/summertime-lentil-bolognese,283.0,13.0,32.0,7.0,8.0,0,26,0,0,0,1,0,0,1,0,1,0,0
Protein-Packed Quesarito,0.96,30.0,4,https://tasty.co/recipe/protein-packed-quesarito,901.0,36.0,106.0,17.0,14.0,1,27,1,0,0,1,1,0,1,0,1,1,1
The Fudgiest Dairy-Free Brownie Pie,0.88,30.0,8,https://tasty.co/recipe/the-fudgiest-dairy-free-brownie-pie,591.0,40.0,56.0,7.0,38.0,0,12,0,0,0,0,1,0,0,1,1,0,0
Split Pea Soup Bread Bowl,0.96,30.0,12,https://tasty.co/recipe/split-pea-soup-bread-bowl,148.0,0.0,29.0,7.0,5.0,0,15,0,0,0,1,0,0,1,0,1,0,0
Banana Almond Oatmeal,0.93,30.0,1,https://tasty.co/recipe/banana-almond-oatmeal,752.0,35.0,96.0,17.0,22.0,0,5,0,0,1,0,0,0,1,0,0,0,0
Slow-Cooker Applesauce And Apple Butter,0.97,30.0,10,https://tasty.co/recipe/slow-cooker-applesauce-and-apple-butter,189.0,0.0,50.0,8.0,37.0,0,8,0,0,1,0,0,0,1,1,0,0,0
Fruit Spring Rolls With Strawberry Lemonade Dip,0.75,30.0,8,https://tasty.co/recipe/fruit-spring-rolls-with-strawberry-lemonade-dip,87.0,0.0,19.0,1.0,9.0,0,13,0,0,1,0,1,0,0,0,0,0,0
Zucchini Chips,0.78,30.0,1,https://tasty.co/recipe/zucchini-chips,96.0,8.0,5.0,1.0,3.0,0,5,0,0,0,1,0,0,1,0,1,0,0
Vegan Pumpkin Cupcakes With Maple Frosting,0.94,30.0,12,https://tasty.co/recipe/vegan-pumpkin-cupcakes-with-maple-frosting,384.0,21.0,45.0,0.0,34.0,0,16,0,1,0,0,1,1,1,1,1,0,0
Chocolate Almond Smoothie,0.92,30.0,1,https://tasty.co/recipe/chocolate-almond-smoothie,579.0,21.0,88.0,13.0,28.0,0,6,0,0,1,0,1,1,0,0,0,0,0
Classic Falafel And Tahini Sauce,0.85,30.0,16,https://tasty.co/recipe/classic-falafel-and-tahini-sauce,140.0,4.0,20.0,4.0,3.0,0,19,0,0,0,1,0,0,1,0,1,0,0
Kid-Friendly Vegan Pancakes,0.85,30.0,8,https://tasty.co/recipe/kid-friendly-vegan-pancakes,151.0,1.0,30.0,1.0,2.0,0,12,0,0,1,0,1,1,0,1,0,1,0
Sourdough Starter,0.83,5.0,1,https://tasty.co/recipe/sourdough-starter,327.0,1.0,67.0,6.0,0.0,0,7,0,1,0,0,1,0,0,0,0,0,1
